298.1,1416,49,4.75,28.9,36.51,107,23,965,Technical Skills
589.2,2956,63,5.02,46.92,56.13,190,70,1723,Technical Skills
983.2,5740,175,5.84,32.8,33.71,547,110,2929,Technical Skills
29.1,133,5,4.56,26.6,35,13,2,111,Technical Skills
279.4,1555,52,5.56,29.9,32.27,176,27,934,Technical Skills
454,2152,63,4.74,34.16,43.24,113,37,1332,Technical Skills
269.5,1330,29,4.93,45.86,55.83,93,27,819,Technical Skills
53,225,5,4.25,45,63.6,28,3,214,Technical Skills
347,1943,53,5.6,36.66,39.28,238,23,1259,Technical Skills
349.3,1641,44,4.7,37.3,47.66,97,31,1072,Technical Skills
85,515,9,6.06,57.22,56.67,38,11,231,Technical Skills
8,50,3,6.25,16.67,16,3,2,27,Technical Skills
341,1471,43,4.31,34.21,47.58,98,41,1176,Technical Skills
11,63,2,5.73,31.5,33,8,0,32,Technical Skills
1,20,0,20,0,0,2,2,2,Precision and Consistency
64,385,10,6.02,38.5,38.4,32,7,181,Technical Skills
4,29,0,7.25,0,0,3,1,14,Technical Skills
7,39,0,5.57,0,0,1,3,22,Technical Skills
14,78,3,5.57,26,28,10,1,48,Technical Skills
933,4127,169,4.42,24.42,33.12,387,52,3413,Technical Skills
9,30,0,3.33,0,0,3,0,35,Technical Skills
153.2,1034,31,6.74,33.35,29.68,127,19,499,Technical Skills
32.1,184,7,5.72,26.29,27.57,11,2,74,Technical Skills
45,189,7,4.2,27,38.57,12,0,150,Technical Skills
14,109,4,7.79,27.25,21,12,2,29,Technical Skills
47.1,260,10,5.51,26,28.3,27,5,181,Technical Skills
1,3,0,3,0,0,0,0,3,Technical Skills
53,317,8,5.98,39.62,39.75,29,8,166,Technical Skills
15,56,3,3.73,18.67,30,2,1,56,Technical Skills
33,177,5,5.36,35.4,39.6,14,2,87,Technical Skills
75.1,294,9,3.91,32.67,50.11,33,2,279,Technical Skills
540.2,2774,77,5.13,36.03,42.1,302,35,1880,Technical Skills
8,38,1,4.75,38,48,4,0,30,Tactics and Strategy
33,159,3,4.82,53,66,11,3,102,Technical Skills
1302.3,5840,122,4.48,47.87,64.06,329,106,4092,Technical Skills
141.1,673,17,4.77,39.59,49.82,31,19,413,Technical Skills
100.5,482,11,4.78,43.82,55,42,12,357,Technical Skills
93,472,12,5.08,39.33,46.5,46,2,334,Technical Skills
30,164,4,5.47,41,45,14,0,79,Technical Skills
170.3,986,25,5.78,39.44,40.92,103,18,569,Technical Skills
248,1539,27,6.21,57,55.11,129,24,636,Technical Skills
7,45,0,6.43,0,0,5,1,22,Technical Skills
14,61,2,4.36,30.5,42,4,0,40,Technical Skills
10,60,2,6,30,30,6,1,25,Technical Skills
3,45,2,15,22.5,9,2,4,5,Precision and Consistency
10.1,52,1,5.11,52,61,6,0,30,Tactics and Strategy
10,40,3,4,13.33,20,1,0,26,Technical Skills
18,96,2,5.33,48,54,6,1,47,Technical Skills
37,174,6,4.7,29,37,6,5,110,Technical Skills
77.5,395,13,5.07,30.38,35.92,45,7,282,Technical Skills
52.4,256,5,4.86,51.2,63.2,15,6,160,Technical Skills
854.1,4241,110,4.97,38.55,46.59,293,49,2521,Technical Skills
120.1,657,16,5.47,41.06,45.06,75,8,422,Technical Skills
25,151,2,6.04,75.5,75,16,1,62,Technical Skills
6,25,0,4.17,0,0,1,0,22,Technical Skills
764,4042,141,5.29,28.67,32.51,414,67,2604,Technical Skills
350.4,1672,44,4.77,38,47.82,185,28,1374,Technical Skills
8,48,1,6,48,48,4,0,18,Tactics and Strategy
58,250,4,4.31,62.5,87,30,4,230,Technical Skills
8.3,57,0,6.71,0,0,4,1,22,Technical Skills
197.4,1323,32,6.69,41.34,37.06,146,30,629,Technical Skills
30,83,3,2.77,27.67,60,2,0,117,Technical Skills
23,139,6,6.04,23.17,23,7,6,65,Technical Skills
67,392,9,5.85,43.56,44.67,48,3,232,Technical Skills
3,13,1,4.33,13,18,2,0,12,Tactics and Strategy
19,105,1,5.53,105,114,9,2,51,Tactics and Strategy
383.1,1760,46,4.59,38.26,49.98,103,44,1222,Technical Skills
150.1,743,17,4.95,43.71,53,87,6,540,Technical Skills
218.4,1117,32,5.11,34.91,41,82,27,696,Technical Skills
146,652,21,4.47,31.05,41.71,35,11,465,Technical Skills
60,261,6,4.35,43.5,60,24,1,200,Technical Skills
405,1929,42,4.76,45.93,57.86,119,34,1232,Technical Skills
57.2,413,12,7.2,34.42,28.67,47,10,180,Technical Skills
6,37,2,6.17,18.5,18,6,0,20,Technical Skills
21,90,2,4.29,45,63,9,0,78,Technical Skills
46.3,326,4,7.01,81.5,69.75,22,14,121,Technical Skills
6,21,1,3.5,21,36,3,0,29,Tactics and Strategy
3,19,0,6.33,0,0,1,0,4,Technical Skills
237.1,1077,39,4.54,27.62,36.49,113,2,899,Technical Skills
360,1970,56,5.47,35.18,38.57,219,26,1228,Technical Skills
254.5,1152,29,4.52,39.72,52.72,93,15,885,Technical Skills
159.5,908,27,5.68,33.63,35.52,106,9,515,Technical Skills
27,163,6,6.04,27.17,27,14,7,81,Technical Skills
74.1,423,12,5.7,35.25,37.08,42,3,224,Technical Skills
402.3,2031,78,5.05,26.04,30.96,149,46,1235,Technical Skills
77.2,414,6,5.35,69,77.33,41,5,276,Technical Skills
21.4,133,6,6.14,22.17,21.67,13,4,64,Technical Skills
9,37,1,4.11,37,54,4,0,35,Tactics and Strategy
1050.4,5180,156,4.93,33.21,40.41,315,117,3155,Technical Skills
78.2,415,11,5.3,37.73,42.73,38,3,253,Technical Skills
14,75,1,5.36,75,84,12,0,48,Tactics and Strategy
25,160,1,6.4,160,150,11,2,61,Tactics and Strategy
156.5,697,28,4.44,24.89,33.61,56,14,550,Technical Skills
26,197,6,7.58,32.83,26,19,7,69,Technical Skills
102.3,521,12,5.08,43.42,51.25,51,7,342,Technical Skills
400.3,2101,77,5.25,27.29,31.21,209,29,1331,Technical Skills
326.2,1739,56,5.33,31.05,34.96,190,23,1134,Technical Skills
6,50,2,8.33,25,18,6,1,17,Tactics and Strategy
46.4,275,3,5.89,91.67,93.33,23,2,106,Technical Skills
665,3412,115,5.13,29.67,34.7,351,44,2337,Technical Skills
139.1,839,18,6.03,46.61,46.39,58,29,359,Technical Skills
34.2,177,6,5.16,29.5,34.33,6,6,98,Technical Skills
195,1083,27,5.55,40.11,43.33,109,25,632,Technical Skills
99,589,19,5.95,31,31.26,58,9,321,Technical Skills
282.1,1336,60,4.73,22.27,28.22,131,29,1082,Technical Skills
4,32,1,8,32,24,4,0,9,Tactics and Strategy
239.2,1423,38,5.95,37.45,37.79,145,42,787,Technical Skills
1625,7936,220,4.88,36.07,44.32,525,179,4964,Technical Skills
26.5,149,6,5.55,24.83,26.83,8,3,69,Technical Skills
4,16,0,4,0,0,0,0,9,Technical Skills
113.1,658,18,5.81,36.56,37.72,76,7,364,Technical Skills
90.2,533,15,5.9,35.53,36.13,46,15,272,Technical Skills
15,97,1,6.47,97,90,5,4,35,Tactics and Strategy
89.5,459,15,5.11,30.6,35.93,13,11,235,Technical Skills
5,34,0,6.8,0,0,1,0,13,Technical Skills
166.1,856,27,5.15,31.7,36.93,96,6,641,Technical Skills
646.5,3534,109,5.46,32.42,35.61,395,51,2201,Technical Skills
883.1,3748,183,4.24,20.48,28.96,262,50,2991,Technical Skills
9.5,69,0,7.02,0,0,5,4,29,Technical Skills
8,69,1,8.62,69,48,7,1,21,Tactics and Strategy
10,68,1,6.8,68,60,10,1,33,Tactics and Strategy
20.2,128,1,6.3,128,122,15,1,60,Tactics and Strategy
158.5,743,20,4.68,37.15,47.65,64,7,519,Technical Skills
275,1440,36,5.24,40,45.83,143,15,892,Technical Skills
10,54,3,5.4,18,20,6,0,31,Technical Skills
13,60,1,4.62,60,78,5,1,46,Tactics and Strategy
54,303,5,5.61,60.6,64.8,37,1,172,Technical Skills
6,48,1,8,48,36,6,1,22,Tactics and Strategy
7,46,0,6.57,0,0,2,2,18,Technical Skills
138.1,570,14,4.13,40.71,59.21,37,13,495,Technical Skills
193.3,996,25,5.15,39.84,46.44,57,20,510,Technical Skills
47,233,10,4.96,23.3,28.2,18,6,145,Technical Skills
68,330,8,4.85,41.25,51,31,2,230,Technical Skills
8.1,31,3,3.8,10.33,16.33,3,0,31,Technical Skills
99.4,522,9,5.24,58,66.44,24,8,236,Technical Skills
21.2,117,1,5.48,117,128,8,3,62,Tactics and Strategy
4,26,0,6.5,0,0,2,0,7,Technical Skills
19.1,97,4,5.06,24.25,28.75,15,0,71,Technical Skills
205.3,1038,27,5.05,38.44,45.67,83,21,666,Technical Skills
23,135,5,5.87,27,27.6,14,3,80,Technical Skills
9,69,2,7.67,34.5,27,5,0,16,Tactics and Strategy
171.5,832,44,4.84,18.91,23.43,101,4,616,Technical Skills
84.3,461,9,5.46,51.22,56.33,46,6,280,Technical Skills
56.3,329,10,5.82,32.9,33.9,17,15,161,Technical Skills
546.2,2681,75,4.91,35.75,43.71,162,60,1639,Technical Skills
15,113,0,7.53,0,0,16,0,40,Technical Skills
206.5,997,28,4.82,35.61,44.32,95,15,750,Technical Skills
57.4,281,10,4.87,28.1,34.6,21,3,177,Technical Skills
50,298,8,5.96,37.25,37.5,31,8,165,Technical Skills
223,1202,46,5.39,26.13,29.09,135,18,762,Technical Skills
85.3,448,12,5.24,37.33,42.75,47,7,313,Technical Skills
35,124,6,3.54,20.67,35,7,2,126,Technical Skills
1,2,1,2,2,6,0,0,4,Technical Skills
15,99,2,6.6,49.5,45,12,1,50,Technical Skills
29.5,151,3,5.06,50.33,59.67,20,3,116,Technical Skills
258.5,1254,27,4.84,46.44,57.52,66,34,780,Technical Skills
67,239,11,3.57,21.73,36.55,27,0,285,Technical Skills
55.2,330,8,5.96,41.25,41.5,20,5,147,Technical Skills
361.5,1593,51,4.4,31.24,42.57,88,37,1186,Technical Skills
74.2,273,8,3.67,34.12,55.75,18,1,286,Technical Skills
115.5,606,20,5.23,30.3,34.75,61,7,387,Technical Skills
119.2,686,21,5.75,32.67,34.1,83,9,402,Technical Skills
14.5,90,2,6.07,45,44.5,8,0,42,Technical Skills
